Hãng,Model,Socket,Giá TB (VNĐ)
Intel,Core i5-14400F,LGA1700,4.200.000 đ
Intel, Core i9-14900KS ,LGA1700,18.490.000 đ
Intel,Core i3-12100F,LGA1700,2.300.000 đ
Intel,Core i3-13100F,LGA1700,2.800.000 đ
Intel,Core i5-12400F,LGA1700,3.200.000 đ
Intel,Core i5-13400F,LGA1700,4.800.000 đ
Intel,Core i5-14400F,LGA1700,4.200.000 đ
Intel,Core i5-13500,LGA1700,6.100.000 đ
Intel,Core i5-13600K,LGA1700,7.500.000 đ
Intel,Core i5-14600KF,LGA1700,6.900.000 đ
Intel,Core i5-14600K ,LGA1700,7.400.000 đ
Intel,Core i7-12700KF,LGA1700,6.500.000 đ
Intel,Core i7-13700F,LGA1700,8.900.000 đ
Intel,Core i7-137K,LGA1700,9.800.000 đ
Intel,Core i7-14700F,LGA1700,9.500.000 đ
Intel,Core i7-14700K,LGA1700,10.500.000 đ
Intel,Core i9-12900K,LGA1700,10.200.000 đ
Intel,Core i9-12900K,LGA1700,13.500.000 đ
Intel,Core i9-13900k,LGA1700,18.490.000 đ
Intel,Core i9-14900KS,LGA1700,7.800.000 đ
Intel,Core Ultra 5 245K,LGA1851,7.200.000 đ
Intel,Core Ultra 5 245KF,LGA1851,10.900.000 đ
Intel,Core Ultra 7 265K,LGA1851,10.200.000 đ
Intel,Core Ultra 7 265KF,LGA1851,15.500.000 đ
Intel,Core Ultra 9 285K,LGA1851,3.000.000 đ
Intel,Core i3-134100F,LGA1700,14.200.000 đ
AMD,Ryzen 3 4100,AM4,1.750.000 đ
AMD,Ryzen 5 4500,AM4,2.100.000 đ
AMD,Ryzen 5 5500,AM4,2.400.000 đ
AMD,Ryzen 5 5600,AM4,3.100.000 đ
AMD,Ryzen 5 5600X,AM4,3.500.000 đ
AMD,Ryzen 7 5700X,AM4,4.500.000 đ
AMD,Ryzen 7 5700X3D,AM4,5.900.000 đ
AMD,Ryzen 7 5800X3D,AM4,7.200.000 đ
AMD,Ryzen 5 7600,AM5,4.800.000 đ
AMD,Ryzen 5 7600X,AM5,5.200.000 đ
AMD,Ryzen 5 8400F,AM5,3.900.000 đ
AMD,Ryzen 5 8600G,AM5,5.400.000 đ
AMD,Ryzen 7 7700,AM5,7.100.000 đ
AMD,Ryzen 7 7700X,AM5,7.600.000 đ
AMD,Ryzen 7 8700G,AM5,7.900.000 đ
AMD,Ryzen 7 7800X3D,AM5,10.500.000 đ
AMD,Ryzen 9 7900,AM5,9.800.000 đ
AMD,Ryzen 9 7900X,AM5,10.400.000 đ
AMD,Ryzen 9 7900X3D,AM5,11.500.000 đ
AMD,Ryzen 9 7950X,AM5,13.200.000 đ
AMD,Ryzen 9 5 9600X,AM5,14.900.000 đ
AMD,Ryzen 5 9600X,AM5,6.200.000 đ
AMD,Ryzen 7 9700X,AM5,8.500.000 đ
AMD,Ryzen 9 9900X,AM5,11.200.000 đ
AMD,Ryzen 9 9950X,AM5,15.800.000 đ
