Hãng,Model,Socket,Số nhân/luồng,Xung nhịp,TDP,iGPU,Giá TB (VNĐ),Ảnh
Intel,Core i3-12100F,LGA1700,4 nhân 8 luồng,Up to 4.3 GHz,58W,Không có,2.300.000 đ,12100F-1.jpg|12100F-2.webp
Intel,Core i5-12400F,LGA1700,6 nhân 12 luồng,Up to 4.4 GHz,65W,Không có,3.200.000 đ,12400F-1.webp|12400F-2.webp
Intel,Core i7-12700KF,LGA1700,12 nhân 20 luồng,Up to 5.0 GHz,125W,Không có,6.500.000 đ,12700KF-1.jpg|12700KF-2.webp
Intel,Core i9-12900K,LGA1700,16 nhân 24 luồng,Up to 5.2 GHz,125W,Intel UHD 770,10.200.000 đ,12900K-1.webp|12900K-2.jpg
Intel,Core i9-12900KF,LGA1700,16 nhân 24 luồng,Up to 5.2 GHz,125W,Không có,13.500.000 đ,12900KF-1.jpg
Intel,Core i3-13100F,LGA1700,4 nhân 8 luồng,Up to 4.5 GHz,58W,Không có,2.800.000 đ,13100F-1.webp|13100F-2.webp
Intel,Core i5-13400F,LGA1700,10 nhân 16 luồng,Up to 4.6 GHz,65W,Không có,4.800.000 đ,13400F-1.webp|13400F-2.webp
Intel,Core i5-13500,LGA1700,14 nhân 20 luồng,Up to 4.8 GHz,65W,Intel UHD 770,6.100.000 đ,13500-1.webp|13500-2.jpg
Intel,Core i5-13600K,LGA1700,14 nhân 20 luồng,Up to 5.1 GHz,125W,Intel UHD 770,7.500.000 đ,13600K-1.jpg|13600K-2.webp
Intel,Core i7-13700F,LGA1700,16 nhân 24 luồng,Up to 5.2 GHz,65W,Không có,8.900.000 đ,13700F-1.webp|13700F-2.jpg
Intel,Core i7-13700K,LGA1700,16 nhân 24 luồng,Up to 5.4 GHz,125W,Intel UHD 770,9.800.000 đ,13700K-1.jpg|13700K-2.webp
Intel,Core i9-13900K,LGA1700,24 nhân 32 luồng,Up to 5.8 GHz,125W,Intel UHD 770,18.490.000 đ,13900K-1.webp|13900K-2.webp
Intel,Core i5-14400F,LGA1700,10 nhân 16 luồng,Up to 4.7 GHz,65W,Không có,4.200.000 đ,14400F-1.webp
