Hãng,Tên sản phẩm,Giá TB (VNĐ),Ảnh
ADATA,XPG DDR5,,adata-xpg-d5-1.png|adata-xpg-d5-2.png|adata-xpg-d5-3.png
ADATA,XPG D50 DDR4,,adata-xpg-d50-d4-1.jpg|adata-xpg-d50-d4-2.png
Corsair,Dominator Platinum RGB DDR4,,corsair-dominator-platinum-rgb-d4-1.webp|corsair-dominator-platinum-rgb-d4-2.webp
Corsair,Vengeance DDR4,,corsair-vengeance-d4-1.webp|corsair-vengeance-d4-2.webp
Corsair,Vengeance DDR5,,corsair-vengeance-d5-1.webp|corsair-vengeance-d5-2.webp
Corsair,Vengeance RGB Pro DDR4,,corsair-vengeance-rgb-pro-d4-1.webp|corsair-vengeance-rgb-pro-d4-2.webp
Crucial,Ballistix DDR4,,crucial-ballistix-d4.jpg
Kingston,Fury Beast DDR4,,kingston-fury-beast-d4-1.jpg|kingston-fury-beast-d4-2.jpg
Kingston,Fury Beast DDR5,,kingston-fury-beast-d5-1.jpg|kingston-fury-beast-d5-2.jpg
Kingston,Fury Renegade DDR5,,kingston-fury-renegade-d5-1.jpg|kingston-fury-renegade-d5-2.jpg
Kingston,Fury Renegade RGB DDR4,,kingston-fury-renegade-rgb-d4-1.1.jpg|kingston-fury-renegade-rgb-d4-1.jpg|kingston-fury-renegade-rgb-d4-2.1.jpg|kingston-fury-renegade-rgb-d4-2.jpg
Kingston,Valueram DDR4 2666,,kingston-valueram-d4-2666.jpg
Lexar,Ares RGB DDR4,,lexar-ares-rgb-d4-1.png|lexar-ares-rgb-d4-2.png
